PDB_file, description
ak2_seed-12_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=12 sample=1 template=off
ak2_seed-12_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=12 sample=2 template=off
ak2_seed-12_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=12 sample=3 template=off
ak2_seed-12_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=12 sample=4 template=off
ak2_seed-13_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=13 sample=0 template=off
ak2_seed-13_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=13 sample=1 template=off
ak2_seed-13_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=13 sample=2 template=off
ak2_seed-13_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=13 sample=3 template=off
ak2_seed-13_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=13 sample=4 template=off
ak2_seed-14_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=14 sample=0 template=off
ak2_seed-14_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=14 sample=1 template=off
ak2_seed-14_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=14 sample=2 template=off
ak2_seed-14_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=14 sample=3 template=off
ak2_seed-14_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=14 sample=4 template=off
ak2_seed-15_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=15 sample=0 template=off
ak2_seed-15_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=15 sample=1 template=off
ak2_seed-15_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=15 sample=2 template=off
ak2_seed-15_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=15 sample=3 template=off
ak2_seed-15_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=15 sample=4 template=off
ak2_seed-16_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=16 sample=0 template=off
ak2_seed-16_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=16 sample=1 template=off
ak2_seed-16_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=16 sample=2 template=off
ak2_seed-16_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=16 sample=3 template=off
ak2_seed-16_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=16 sample=4 template=off
ak2_seed-17_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=17 sample=0 template=off
ak2_seed-17_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=17 sample=1 template=off
ak2_seed-17_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=17 sample=2 template=off
ak2_seed-17_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=17 sample=3 template=off
ak2_seed-17_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=17 sample=4 template=off
ak2_seed-18_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=18 sample=0 template=off
ak2_seed-18_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=18 sample=1 template=off
ak2_seed-18_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=18 sample=2 template=off
ak2_seed-18_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=18 sample=3 template=off
ak2_seed-18_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=18 sample=4 template=off
ak2_seed-19_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=19 sample=0 template=off
ak2_seed-19_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=19 sample=1 template=off
ak2_seed-19_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=19 sample=2 template=off
ak2_seed-19_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=19 sample=3 template=off
ak2_seed-19_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=19 sample=4 template=off
ak2_seed-20_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=20 sample=0 template=off
ak2_seed-20_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=20 sample=1 template=off
ak2_seed-20_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=20 sample=2 template=off
ak2_seed-20_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=20 sample=3 template=off
ak2_seed-20_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=20 sample=4 template=off
ak2_seed-21_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=21 sample=0 template=off
ak2_seed-21_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=21 sample=1 template=off
ak2_seed-21_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=21 sample=2 template=off
ak2_seed-21_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=21 sample=3 template=off
ak2_seed-21_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=21 sample=4 template=off
ak2_seed-22_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=22 sample=0 template=off
ak2_seed-22_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=22 sample=1 template=off
ak2_seed-22_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=22 sample=2 template=off
ak2_seed-22_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=22 sample=3 template=off
ak2_seed-22_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=22 sample=4 template=off
ak2_seed-23_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=23 sample=0 template=off
ak2_seed-23_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=23 sample=1 template=off
ak2_seed-23_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=23 sample=2 template=off
ak2_seed-23_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=23 sample=3 template=off
ak2_seed-23_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=23 sample=4 template=off
ak2_seed-24_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=24 sample=0 template=off
ak2_seed-24_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=24 sample=1 template=off
ak2_seed-24_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=24 sample=2 template=off
ak2_seed-24_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=24 sample=3 template=off
ak2_seed-24_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=24 sample=4 template=off
ak2_seed-25_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=25 sample=0 template=off
ak2_seed-25_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=25 sample=1 template=off
ak2_seed-25_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=25 sample=2 template=off
ak2_seed-25_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=25 sample=3 template=off
ak2_seed-25_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=25 sample=4 template=off
ak2_seed-26_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=26 sample=0 template=off
ak2_seed-26_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=26 sample=1 template=off
ak2_seed-26_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=26 sample=2 template=off
ak2_seed-26_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=26 sample=3 template=off
ak2_seed-26_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=26 sample=4 template=off
ak2_seed-27_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=27 sample=0 template=off
ak2_seed-27_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=27 sample=1 template=off
ak2_seed-27_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=27 sample=2 template=off
ak2_seed-27_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=27 sample=3 template=off
ak2_seed-27_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=27 sample=4 template=off
ak2_seed-28_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=28 sample=0 template=off
ak2_seed-28_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=28 sample=1 template=off
ak2_seed-28_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=28 sample=2 template=off
ak2_seed-28_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=28 sample=3 template=off
ak2_seed-28_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=28 sample=4 template=off
ak2_seed-29_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=29 sample=0 template=off
ak2_seed-29_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=29 sample=1 template=off
ak2_seed-29_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=29 sample=2 template=off
ak2_seed-29_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=29 sample=3 template=off
ak2_seed-29_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=29 sample=4 template=off
ak2_seed-30_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=30 sample=0 template=off
ak2_seed-30_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=30 sample=1 template=off
ak2_seed-30_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=30 sample=2 template=off
ak2_seed-30_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=30 sample=3 template=off
